AP_ID ,Count of CLIENT_MAC,Longitude,Latitude
67,4,-122.383811,37.616333
68,6,-122.383813,37.616172
69,3,-122.383745,37.61624
70,73,-122.383854,37.616976
71,6,-122.384012,37.616969
72,4,-122.383909,37.616744
73,9,-122.383829,37.617036
74,7,-122.383666,37.616957
75,2,-122.384355,37.61755
76,1,-122.383678,37.616904
77,2,-122.384158,37.617491
78,4,-122.384223,37.617341
79,17,-122.384143,37.617181
80,4,-122.384356,37.617572
81,2,-122.38374,37.617153
82,3,-122.3836,37.616708
83,10,-122.383764,37.616813
84,127,-122.384184,37.617057
85,3,-122.383396,37.61658
86,7,-122.383837,37.616515
87,80,-122.384027,37.616647
88,3,-122.383731,37.617407
89,6,-122.383619,37.617261
90,64,-122.381649,37.617308
91,77,-122.381288,37.61735
92,111,-122.381025,37.617049
93,58,-122.381323,37.617085
94,10,-122.383839,37.61734
95,17,-122.381772,37.617486
96,7,-122.382278,37.6175
97,59,-122.381424,37.617679
98,30,-122.382476,37.617191
99,49,-122.38208,37.61738
100,34,-122.381797,37.61735
101,11,-122.382455,37.617399
102,110,-122.381608,37.618095
103,7,-122.382348,37.617356
104,80,-122.381147,37.617591
106,50,-122.381727,37.617637
107,58,-122.381325,37.618052
109,13,-122.38225,37.617246
110,23,-122.383151,37.617121
111,15,-122.383077,37.617288
112,4,-122.383368,37.616803
113,22,-122.382676,37.617114
114,58,-122.384014,37.617326
115,3,-122.383532,37.617439
116,13,-122.382835,37.617005
117,7,-122.383517,37.616629
118,15,-122.382833,37.617287
119,9,-122.383475,37.616387
120,3,-122.383615,37.617416
121,32,-122.383352,37.617001
122,1,-122.383344,37.616583
123,5,-122.383163,37.616692
125,8,-122.383791,37.617382
126,6,-122.383983,37.617503
127,9,-122.383224,37.616817
210,8,-122.38329,37.617362
595,7,-122.380836,37.617205
596,39,-122.381023,37.617524
597,3,-122.383586,37.616506
598,1,-122.380982,37.616818
600,1,-122.383038,37.617309
601,10,-122.381255,37.617128
603,9,-122.383572,37.616221
604,10,-122.381189,37.617315
605,26,-122.38246,37.616986
606,5,-122.38343,37.617322
608,1,-122.38345,37.617071
610,6,-122.382894,37.616888
611,5,-122.381644,37.617302
612,1,-122.384349,37.617692
613,1,-122.382759,37.617187
615,4,-122.382599,37.616986
616,13,-122.383919,37.617432
617,5,-122.383488,37.616788
619,25,-122.381948,37.617631
621,11,-122.381569,37.617911
623,15,-122.383391,37.61643
624,3,-122.382734,37.617329
625,36,-122.381447,37.617048
627,6,-122.383875,37.61754
628,26,-122.380857,37.617006
631,3,-122.38235,37.617149
632,1,-122.382425,37.617413
633,1,-122.381319,37.618193
634,17,-122.381019,37.616805
635,3,-122.381547,37.617684
636,3,-122.381041,37.616976
637,6,-122.38127,37.618104
640,5,-122.381894,37.61736
641,5,-122.381595,37.618288
642,28,-122.381177,37.616934
643,1,-122.383692,37.616063
644,1,-122.383584,37.617513
645,26,-122.381122,37.617776
646,2,-122.383197,37.616727
650,5,-122.381178,37.618084
652,7,-122.381371,37.617821
653,4,-122.381567,37.618298
654,25,-122.382663,37.617491
655,24,-122.381969,37.617186